ID,Name,Unit Price,Dosage Amount,Frequency,Default Duration
1,Metformin,$5.00,500 mg,Once daily,30 days
,,$5.00,500 mg,Twice daily,30 days
,,$5.00,1000 mg,Once daily,30 days
2,Phentermine,$15.00,15 mg,Once daily,14 days
,,$15.00,30 mg,Once daily,14 days
,,$15.00,37.5 mg,Once daily,14 days
3,Naltrexone,$12.00,25 mg,Once daily,7 days
,,$12.00,50 mg,Once daily,28 days
,,$12.00,50 mg,Twice daily,28 days
4,Wellbutrin,$10.00,100 mg,Twice daily,14 days
,,$10.00,150 mg,Once daily,14 days
,,$10.00,150 mg,Twice daily,14 days
5,Topiramate,$8.00,25 mg,Once daily,30 days
,,$8.00,25 mg,Twice daily,30 days
,,$8.00,50 mg,Twice daily,30 days
6,Ozempic,$40.00,0.25 mg,Once weekly,4 weeks
,,$40.00,0.5 mg,Once weekly,4 weeks
,,$40.00,1 mg,Once weekly,4 weeks
7,Bupropion,$2.50,75 mg,Once daily,21 days
,,$3.00,150 mg,Once daily,21 days
,,$3.50,150 mg,Twice daily,21 days